OBJECTID,NAME,ADDRESS,X,Y,ADDRID
1,RED LOUNGE,2013 14TH STREET NW,397258.37,138845.27,240339
2,ROCK & ROLL HOTEL,1353 H STREET NE,401163.56,136891.68,286092
3,ROSEBAR,1215 CONNECTICUT AVENUE NW,396433.43,137617.28,241766
4,ROYAL PALACE,1805 CONNECTICUT AVENUE NW,396027.19,138505.86,242756
5,SMOKE & BARREL,2471 18TH STREET NW,396336.03,139379.24,235595
6,SOLLY'S U ST TAVERN,1942 11TH STREET NW,397633.27,138769.89,279499
7,SOUSSI HOOKAH BAR & LOUNGE,2228 18TH STREET NW,396368.3,139074.26,235469
8,THE HAMILTON,600 14TH STREET NW,397200.36,136648.98,300970
9,THE JAM CELLAR,2437 15TH STREET NW,396971.82,139401.47,234197
10,THE WONDERLAND BALLROOM,1101 KENYON STREET NW,397573.56,140228.27,231161
11,THE PARK AT FOURTEENTH,920 14TH STREET NW,397203.44,137117.69,279987
12,THE VELVET LOUNGE,915 U STREET NW,397860.66,138814.9,239442
13,TIMEHRI,2439 18TH STREET NW,396357.78,139294.24,235584
14,TOKA CAFÉ ,1140 19TH STREET NW,396193.86,137456.2,241076
15,TROPICALIA,2001 14TH STREET NW,397248.69,138809.3,240357
16,TURNTABLES,5802 GEORGIA AVENUE NW,397539.03,143596.07,253164
17,U STREET MUSIC HALL,1115 U STREET NW,397591.88,138810.97,309088
18,ULTRABAR ,911 F STREET NW,397864.27,136644.3,242797
19,VEGAS LOUNGE,1415 P STREET NW,397170.97,138000.2,279146
20,VENUS,15 K STREET NE,399321.23,137152.4,62711
21,ZIEGFELD'S SECRETS,1824 HALF STREET SW,399105.65,133294.7,277759
22,Zeba Bar,3423 14TH STREET NW,397184.94,140483.78,230874
23,9:30 CLUB,815 V STREET NW,397949.9,138905.14,285441
24,AQUA,1818 NEW YORK AVENUE NE,402020.97,138872.09,55416
25,ARCHIBALD'S,1520 K STREET NW,396913.31,137142.77,218319
26,BACHELOR'S MILL,1104 8TH STREET SE,400455.72,134371.92,285834
27,BARCODE,1101 17TH STREET NW,396692.75,137355.36,278813
28,BLACK CAT ,1811 14TH STREET NW,397263.94,138523.73,240469
29,BLUES ALLEY,1073 WISCONSIN AVENUE NW,394574.16,137427.11,273839
30,BOSSA BISTRO & LOUNGE,2463 18TH STREET NW,396340.93,139357.23,235591
31,CAFÉ CITRON,1343 CONNECTICUT AVENUE NW,396327.44,137842.56,285509
32,CAMELOT SHOW BAR,1823 M STREET NW,396295.3,137560.75,241271
33,CAPITOL LOUNGE ,229 PENNSYLVANIA AVENUE SE,399787.23,135455.4,278137
34,CHI CHA LOUNGE,1624 U STREET NW,396713.47,138766.04,226300
35,CITIES,1909 K STREET NW,396176.13,137218.12,243209
36,COLBALT,1639 R STREET NW,396687.8,138326.71,243123
37,CUBA LIBRE,801 9TH STREET NW,397951.37,136947.56,285560
38,DC STAR,2135 QUEENS CHAPEL ROAD NE,402393.44,139115.14,286671
39,DC9,1940 9TH STREET NW,397899.19,138760.66,279498
40,DIRTY BAR,1223 CONNECTICUT AVENUE NW,396424.45,137648.32,241771
41,DIRTY MARTINI,1223 CONNECTICUT AVENUE NW,396424.45,137648.32,241771
42,ECHOSTAGE,2135 QUEENS CHAPEL ROAD NE,402393.44,139115.14,286671
43,EDEN,1716 I STREET NW,396510.05,137022.64,279328
44,EIGHTEENTH STREET LOUNGE,1212 18TH STREET NW,396359.98,137595.94,241288
45,GRAND CENTRAL,2447 18TH STREET NW,396353.02,139320.5,218136
46,HABANA VILLAGE,1834 COLUMBIA ROAD NW,396258.42,139318.55,235389
47,HEAVEN & HELL,2327 18TH STREET NW,396392.63,139173.94,235600
48,HEIST,1802 JEFFERSON PLACE NW,396339.56,137612.62,303475
49,KABIN,1337 CONNECTICUT AVENUE NW,396337.4,137825.96,279096
50,L2 LOUNGE,3315 CADY'S ALLEY NW,394217.26,137442.45,302277
51,LITTLE MISS WHISKEY'S GOLDEN DOLLAR,1104 H STREET NE,400762.09,136948.32,74492
52,LOST SOCIETY,2001 14TH STREET NW,397248.69,138809.3,240357
53,MADHATTER,1319 CONNECTICUT AVENUE NW,396359.03,137783.56,243295
54,MADAM'S ORGAN,2461 18TH STREET NW,396342.15,139351.28,235590
55,OPERA ULTRALOUNGE,1400 I STREET NW,397199.87,137019.46,217995
56,OZIO,1813 M STREET NW,396325.86,137563.43,243139
57,PANORAMA,1424 K STREET NW,397136.34,137148.94,240268
58,Penthouse Pool Club,1612 U STREET NW,396736.1,138763.71,241860
59,POLICY,1904 14TH STREET NW,397208.43,138656.29,218552
60,POV,515 15TH STREET NW,397103.43,136567.81,279820
61,PURE LOUNGE ,1326 U STREET NW,397334.26,138769.63,279068
62,RECESS LOUNGE,727 15TH STREET NW,397114.74,136864.86,218739
